NTAX,STRHT,SRATE,NCHR,REPL,MTHD,DOLLO
model,100,2000000,0.000001,10000,01,dollo-cdp-fast,16863
model,100,2000000,0.000001,10000,01,paup-dollo-fast-hsearch-first,16863
model,100,2000000,0.000001,10000,01,paup-dollo-hsearch-first,16863
model,100,2000000,0.000001,10000,02,dollo-cdp-fast,17501
model,100,2000000,0.000001,10000,02,paup-dollo-fast-hsearch-first,17516
model,100,2000000,0.000001,10000,02,paup-dollo-hsearch-first,17501
model,100,2000000,0.000001,10000,03,dollo-cdp-fast,17213
model,100,2000000,0.000001,10000,03,paup-dollo-fast-hsearch-first,17213
model,100,2000000,0.000001,10000,03,paup-dollo-hsearch-first,17213
model,100,2000000,0.000001,10000,04,dollo-cdp-fast,16846
model,100,2000000,0.000001,10000,04,paup-dollo-fast-hsearch-first,16848
model,100,2000000,0.000001,10000,04,paup-dollo-hsearch-first,16846
model,100,2000000,0.000001,10000,05,dollo-cdp-fast,17673
model,100,2000000,0.000001,10000,05,paup-dollo-fast-hsearch-first,17683
model,100,2000000,0.000001,10000,05,paup-dollo-hsearch-first,17673
model,100,2000000,0.000001,10000,06,dollo-cdp-fast,17675
model,100,2000000,0.000001,10000,06,paup-dollo-fast-hsearch-first,17688
model,100,2000000,0.000001,10000,06,paup-dollo-hsearch-first,17675
model,100,2000000,0.000001,10000,07,dollo-cdp-fast,18447
model,100,2000000,0.000001,10000,07,paup-dollo-fast-hsearch-first,18459
model,100,2000000,0.000001,10000,07,paup-dollo-hsearch-first,18447
model,100,2000000,0.000001,10000,08,dollo-cdp-fast,18280
model,100,2000000,0.000001,10000,08,paup-dollo-fast-hsearch-first,18295
model,100,2000000,0.000001,10000,08,paup-dollo-hsearch-first,18273
model,100,2000000,0.000001,10000,09,dollo-cdp-fast,16906
model,100,2000000,0.000001,10000,09,paup-dollo-fast-hsearch-first,16915
model,100,2000000,0.000001,10000,09,paup-dollo-hsearch-first,16906
model,100,2000000,0.000001,10000,10,dollo-cdp-fast,17554
model,100,2000000,0.000001,10000,10,paup-dollo-fast-hsearch-first,17561
model,100,2000000,0.000001,10000,10,paup-dollo-hsearch-first,17554
model,100,2000000,0.000001,10000,11,dollo-cdp-fast,16646
model,100,2000000,0.000001,10000,11,paup-dollo-fast-hsearch-first,16657
model,100,2000000,0.000001,10000,11,paup-dollo-hsearch-first,16646
model,100,2000000,0.000001,10000,12,dollo-cdp-fast,16297
model,100,2000000,0.000001,10000,12,paup-dollo-fast-hsearch-first,16303
model,100,2000000,0.000001,10000,12,paup-dollo-hsearch-first,16297
model,100,2000000,0.000001,10000,13,dollo-cdp-fast,20473
model,100,2000000,0.000001,10000,13,paup-dollo-fast-hsearch-first,20480
model,100,2000000,0.000001,10000,13,paup-dollo-hsearch-first,20473
model,100,2000000,0.000001,10000,14,dollo-cdp-fast,18590
model,100,2000000,0.000001,10000,14,paup-dollo-fast-hsearch-first,18594
model,100,2000000,0.000001,10000,14,paup-dollo-hsearch-first,18590
model,100,2000000,0.000001,10000,15,dollo-cdp-fast,18520
model,100,2000000,0.000001,10000,15,paup-dollo-fast-hsearch-first,18534
model,100,2000000,0.000001,10000,15,paup-dollo-hsearch-first,18520
model,100,2000000,0.000001,10000,16,dollo-cdp-fast,16242
model,100,2000000,0.000001,10000,16,paup-dollo-fast-hsearch-first,16243
model,100,2000000,0.000001,10000,16,paup-dollo-hsearch-first,16242
model,100,2000000,0.000001,10000,17,dollo-cdp-fast,16115
model,100,2000000,0.000001,10000,17,paup-dollo-fast-hsearch-first,16130
model,100,2000000,0.000001,10000,17,paup-dollo-hsearch-first,16115
model,100,2000000,0.000001,10000,18,dollo-cdp-fast,18382
model,100,2000000,0.000001,10000,18,paup-dollo-fast-hsearch-first,18408
model,100,2000000,0.000001,10000,18,paup-dollo-hsearch-first,18382
model,100,2000000,0.000001,10000,19,dollo-cdp-fast,17394
model,100,2000000,0.000001,10000,19,paup-dollo-fast-hsearch-first,17424
model,100,2000000,0.000001,10000,19,paup-dollo-hsearch-first,17394
model,100,2000000,0.000001,1000,01,dollo-cdp-fast,1646
model,100,2000000,0.000001,1000,01,paup-dollo-fast-hsearch-first,1646
model,100,2000000,0.000001,1000,01,paup-dollo-hsearch-first,1646
model,100,2000000,0.000001,10000,20,dollo-cdp-fast,16995
model,100,2000000,0.000001,10000,20,paup-dollo-fast-hsearch-first,17007
model,100,2000000,0.000001,10000,20,paup-dollo-hsearch-first,16995
model,100,2000000,0.000001,10000,21,dollo-cdp-fast,19555
model,100,2000000,0.000001,10000,21,paup-dollo-fast-hsearch-first,19556
model,100,2000000,0.000001,10000,21,paup-dollo-hsearch-first,19555
model,100,2000000,0.000001,10000,22,dollo-cdp-fast,18379
model,100,2000000,0.000001,10000,22,paup-dollo-fast-hsearch-first,18409
model,100,2000000,0.000001,10000,22,paup-dollo-hsearch-first,18379
model,100,2000000,0.000001,10000,23,dollo-cdp-fast,19273
model,100,2000000,0.000001,10000,23,paup-dollo-fast-hsearch-first,19291
model,100,2000000,0.000001,10000,23,paup-dollo-hsearch-first,19273
model,100,2000000,0.000001,10000,24,dollo-cdp-fast,16999
model,100,2000000,0.000001,10000,24,paup-dollo-fast-hsearch-first,17005
model,100,2000000,0.000001,10000,24,paup-dollo-hsearch-first,16999
model,100,2000000,0.000001,10000,25,dollo-cdp-fast,18061
model,100,2000000,0.000001,10000,25,paup-dollo-fast-hsearch-first,18093
model,100,2000000,0.000001,10000,25,paup-dollo-hsearch-first,18061
model,100,2000000,0.000001,1000,02,dollo-cdp-fast,1707
model,100,2000000,0.000001,1000,02,paup-dollo-fast-hsearch-first,1707
model,100,2000000,0.000001,1000,02,paup-dollo-hsearch-first,1707
model,100,2000000,0.000001,1000,03,dollo-cdp-fast,1746
model,100,2000000,0.000001,1000,03,paup-dollo-fast-hsearch-first,1746
model,100,2000000,0.000001,1000,03,paup-dollo-hsearch-first,1746
model,100,2000000,0.000001,1000,04,dollo-cdp-fast,1618
model,100,2000000,0.000001,1000,04,paup-dollo-fast-hsearch-first,1618
model,100,2000000,0.000001,1000,04,paup-dollo-hsearch-first,1618
model,100,2000000,0.000001,1000,05,dollo-cdp-fast,1746
model,100,2000000,0.000001,1000,05,paup-dollo-fast-hsearch-first,1746
model,100,2000000,0.000001,1000,05,paup-dollo-hsearch-first,1746
model,100,2000000,0.000001,1000,06,dollo-cdp-fast,1768
model,100,2000000,0.000001,1000,06,paup-dollo-fast-hsearch-first,1769
model,100,2000000,0.000001,1000,06,paup-dollo-hsearch-first,1768
model,100,2000000,0.000001,1000,07,dollo-cdp-fast,1835
model,100,2000000,0.000001,1000,07,paup-dollo-fast-hsearch-first,1835
model,100,2000000,0.000001,1000,07,paup-dollo-hsearch-first,1835
model,100,2000000,0.000001,1000,08,dollo-cdp-fast,1727
model,100,2000000,0.000001,1000,08,paup-dollo-fast-hsearch-first,1728
model,100,2000000,0.000001,1000,08,paup-dollo-hsearch-first,1727
model,100,2000000,0.000001,1000,09,dollo-cdp-fast,1609
model,100,2000000,0.000001,1000,09,paup-dollo-fast-hsearch-first,1609
model,100,2000000,0.000001,1000,09,paup-dollo-hsearch-first,1609
model,100,2000000,0.000001,1000,10,dollo-cdp-fast,1608
model,100,2000000,0.000001,1000,10,paup-dollo-fast-hsearch-first,1608
model,100,2000000,0.000001,1000,10,paup-dollo-hsearch-first,1608
model,100,2000000,0.000001,1000,11,dollo-cdp-fast,1661
model,100,2000000,0.000001,1000,11,paup-dollo-fast-hsearch-first,1661
model,100,2000000,0.000001,1000,11,paup-dollo-hsearch-first,1661
model,100,2000000,0.000001,1000,12,dollo-cdp-fast,1533
model,100,2000000,0.000001,1000,12,paup-dollo-fast-hsearch-first,1533
model,100,2000000,0.000001,1000,12,paup-dollo-hsearch-first,1533
model,100,2000000,0.000001,1000,13,dollo-cdp-fast,2061
model,100,2000000,0.000001,1000,13,paup-dollo-fast-hsearch-first,2061
model,100,2000000,0.000001,1000,13,paup-dollo-hsearch-first,2061
model,100,2000000,0.000001,1000,14,dollo-cdp-fast,1861
model,100,2000000,0.000001,1000,14,paup-dollo-fast-hsearch-first,1861
model,100,2000000,0.000001,1000,14,paup-dollo-hsearch-first,1861
model,100,2000000,0.000001,1000,15,dollo-cdp-fast,1742
model,100,2000000,0.000001,1000,15,paup-dollo-fast-hsearch-first,1742
model,100,2000000,0.000001,1000,15,paup-dollo-hsearch-first,1742
model,100,2000000,0.000001,1000,16,dollo-cdp-fast,1584
model,100,2000000,0.000001,1000,16,paup-dollo-fast-hsearch-first,1584
model,100,2000000,0.000001,1000,16,paup-dollo-hsearch-first,1584
model,100,2000000,0.000001,1000,17,dollo-cdp-fast,1509
model,100,2000000,0.000001,1000,17,paup-dollo-fast-hsearch-first,1509
model,100,2000000,0.000001,1000,17,paup-dollo-hsearch-first,1509
model,100,2000000,0.000001,1000,18,dollo-cdp-fast,1831
model,100,2000000,0.000001,1000,18,paup-dollo-fast-hsearch-first,1831
model,100,2000000,0.000001,1000,18,paup-dollo-hsearch-first,1831
model,100,2000000,0.000001,1000,19,dollo-cdp-fast,1682
model,100,2000000,0.000001,1000,19,paup-dollo-fast-hsearch-first,1682
model,100,2000000,0.000001,1000,19,paup-dollo-hsearch-first,1682
model,100,2000000,0.000001,1000,20,dollo-cdp-fast,1706
model,100,2000000,0.000001,1000,20,paup-dollo-fast-hsearch-first,1706
model,100,2000000,0.000001,1000,20,paup-dollo-hsearch-first,1706
model,100,2000000,0.000001,1000,21,dollo-cdp-fast,1907
model,100,2000000,0.000001,1000,21,paup-dollo-fast-hsearch-first,1908
model,100,2000000,0.000001,1000,21,paup-dollo-hsearch-first,1907
model,100,2000000,0.000001,1000,22,dollo-cdp-fast,1757
model,100,2000000,0.000001,1000,22,paup-dollo-fast-hsearch-first,1757
model,100,2000000,0.000001,1000,22,paup-dollo-hsearch-first,1757
model,100,2000000,0.000001,1000,23,dollo-cdp-fast,1916
model,100,2000000,0.000001,1000,23,paup-dollo-fast-hsearch-first,1916
model,100,2000000,0.000001,1000,23,paup-dollo-hsearch-first,1919
model,100,2000000,0.000001,1000,24,dollo-cdp-fast,1669
model,100,2000000,0.000001,1000,24,paup-dollo-fast-hsearch-first,1669
model,100,2000000,0.000001,1000,24,paup-dollo-hsearch-first,1669
model,100,2000000,0.000001,1000,25,dollo-cdp-fast,1744
model,100,2000000,0.000001,1000,25,paup-dollo-fast-hsearch-first,1744
model,100,2000000,0.000001,1000,25,paup-dollo-hsearch-first,1744
model,100,2000000,0.000001,50000,01,dollo-cdp-fast,84382
model,100,2000000,0.000001,50000,01,paup-dollo-fast-hsearch-first,84384
model,100,2000000,0.000001,50000,01,paup-dollo-hsearch-first,84382
model,100,2000000,0.000001,50000,02,dollo-cdp-fast,87342
model,100,2000000,0.000001,50000,02,paup-dollo-fast-hsearch-first,87344
model,100,2000000,0.000001,50000,02,paup-dollo-hsearch-first,87342
model,100,2000000,0.000001,50000,03,dollo-cdp-fast,85671
model,100,2000000,0.000001,50000,03,paup-dollo-fast-hsearch-first,85709
model,100,2000000,0.000001,50000,03,paup-dollo-hsearch-first,85671
model,100,2000000,0.000001,50000,04,dollo-cdp-fast,84360
model,100,2000000,0.000001,50000,04,paup-dollo-fast-hsearch-first,84366
model,100,2000000,0.000001,50000,04,paup-dollo-hsearch-first,84336
model,100,2000000,0.000001,50000,05,dollo-cdp-fast,89029
model,100,2000000,0.000001,50000,05,paup-dollo-fast-hsearch-first,89044
model,100,2000000,0.000001,50000,05,paup-dollo-hsearch-first,89029
model,100,2000000,0.000001,50000,06,dollo-cdp-fast,86896
model,100,2000000,0.000001,50000,06,paup-dollo-fast-hsearch-first,86915
model,100,2000000,0.000001,50000,06,paup-dollo-hsearch-first,86896
model,100,2000000,0.000001,50000,07,dollo-cdp-fast,92524
model,100,2000000,0.000001,50000,07,paup-dollo-fast-hsearch-first,92579
model,100,2000000,0.000001,50000,07,paup-dollo-hsearch-first,92524
model,100,2000000,0.000001,50000,08,dollo-cdp-fast,91199
model,100,2000000,0.000001,50000,08,paup-dollo-fast-hsearch-first,91267
model,100,2000000,0.000001,50000,08,paup-dollo-hsearch-first,91199
model,100,2000000,0.000001,50000,09,dollo-cdp-fast,83781
model,100,2000000,0.000001,50000,09,paup-dollo-fast-hsearch-first,83781
model,100,2000000,0.000001,50000,09,paup-dollo-hsearch-first,83781
model,100,2000000,0.000001,50000,10,dollo-cdp-fast,88691
model,100,2000000,0.000001,50000,10,paup-dollo-fast-hsearch-first,88716
model,100,2000000,0.000001,50000,10,paup-dollo-hsearch-first,88691
model,100,2000000,0.000001,50000,11,dollo-cdp-fast,85141
model,100,2000000,0.000001,50000,11,paup-dollo-fast-hsearch-first,85145
model,100,2000000,0.000001,50000,11,paup-dollo-hsearch-first,85141
model,100,2000000,0.000001,50000,12,dollo-cdp-fast,82436
model,100,2000000,0.000001,50000,12,paup-dollo-fast-hsearch-first,82436
model,100,2000000,0.000001,50000,12,paup-dollo-hsearch-first,82436
model,100,2000000,0.000001,50000,13,dollo-cdp-fast,102295
model,100,2000000,0.000001,50000,13,paup-dollo-fast-hsearch-first,102326
model,100,2000000,0.000001,50000,13,paup-dollo-hsearch-first,102295
model,100,2000000,0.000001,50000,14,dollo-cdp-fast,93862
model,100,2000000,0.000001,50000,14,paup-dollo-fast-hsearch-first,93868
model,100,2000000,0.000001,50000,14,paup-dollo-hsearch-first,93862
model,100,2000000,0.000001,50000,15,dollo-cdp-fast,92802
model,100,2000000,0.000001,50000,15,paup-dollo-fast-hsearch-first,92876
model,100,2000000,0.000001,50000,15,paup-dollo-hsearch-first,92802
model,100,2000000,0.000001,50000,16,dollo-cdp-fast,82010
model,100,2000000,0.000001,50000,16,paup-dollo-fast-hsearch-first,82010
model,100,2000000,0.000001,50000,16,paup-dollo-hsearch-first,82010
model,100,2000000,0.000001,50000,17,dollo-cdp-fast,80536
model,100,2000000,0.000001,50000,17,paup-dollo-fast-hsearch-first,80579
model,100,2000000,0.000001,50000,17,paup-dollo-hsearch-first,80536
model,100,2000000,0.000001,50000,18,dollo-cdp-fast,92158
model,100,2000000,0.000001,50000,18,paup-dollo-fast-hsearch-first,92219
model,100,2000000,0.000001,50000,18,paup-dollo-hsearch-first,92158
model,100,2000000,0.000001,50000,19,dollo-cdp-fast,87478
model,100,2000000,0.000001,50000,19,paup-dollo-fast-hsearch-first,87523
model,100,2000000,0.000001,50000,19,paup-dollo-hsearch-first,87478
model,100,2000000,0.000001,5000,01,dollo-cdp-fast,8392
model,100,2000000,0.000001,5000,01,paup-dollo-fast-hsearch-first,8404
model,100,2000000,0.000001,5000,01,paup-dollo-hsearch-first,8392
model,100,2000000,0.000001,50000,20,dollo-cdp-fast,84771
model,100,2000000,0.000001,50000,20,paup-dollo-fast-hsearch-first,84771
model,100,2000000,0.000001,50000,20,paup-dollo-hsearch-first,84771
model,100,2000000,0.000001,50000,21,dollo-cdp-fast,96908
model,100,2000000,0.000001,50000,21,paup-dollo-fast-hsearch-first,96974
model,100,2000000,0.000001,50000,21,paup-dollo-hsearch-first,96908
model,100,2000000,0.000001,50000,22,dollo-cdp-fast,92071
model,100,2000000,0.000001,50000,22,paup-dollo-fast-hsearch-first,92187
model,100,2000000,0.000001,50000,22,paup-dollo-hsearch-first,92071
model,100,2000000,0.000001,50000,23,dollo-cdp-fast,96337
model,100,2000000,0.000001,50000,23,paup-dollo-fast-hsearch-first,96457
model,100,2000000,0.000001,50000,23,paup-dollo-hsearch-first,96337
model,100,2000000,0.000001,50000,24,dollo-cdp-fast,85814
model,100,2000000,0.000001,50000,24,paup-dollo-fast-hsearch-first,85894
model,100,2000000,0.000001,50000,24,paup-dollo-hsearch-first,85726
model,100,2000000,0.000001,50000,25,dollo-cdp-fast,90503
model,100,2000000,0.000001,50000,25,paup-dollo-fast-hsearch-first,90526
model,100,2000000,0.000001,50000,25,paup-dollo-hsearch-first,90503
