NTAX,STRHT,SRATE,NCHR,REPL,MTHD,NODE,real,user,sys
model,100,2000000,0.000001,10000,01,dollo-cdp-fast,cbcb02,0m2.015s,0m0.693s,0m0.006s
model,100,2000000,0.000001,10000,01,paup-dollo-fast-hsearch,cbcb02,0m9.328s,0m8.547s,0m0.007s
model,100,2000000,0.000001,10000,01,paup-dollo-hsearch,cbcb20,6m0.587s,5m57.799s,0m0.007s
model,100,2000000,0.000001,10000,02,dollo-cdp-fast,cbcb02,0m2.163s,0m0.826s,0m0.009s
model,100,2000000,0.000001,10000,02,paup-dollo-fast-hsearch,cbcb02,0m8.547s,0m7.745s,0m0.006s
model,100,2000000,0.000001,10000,02,paup-dollo-hsearch,cbcb20,5m19.924s,5m17.321s,0m0.005s
model,100,2000000,0.000001,10000,03,dollo-cdp-fast,cbcb02,0m1.918s,0m0.691s,0m0.004s
model,100,2000000,0.000001,10000,03,paup-dollo-fast-hsearch,cbcb02,0m9.760s,0m8.978s,0m0.006s
model,100,2000000,0.000001,10000,03,paup-dollo-hsearch,cbcb16,3m35.897s,3m34.233s,0m0.027s
model,100,2000000,0.000001,10000,04,dollo-cdp-fast,cbcb02,0m2.019s,0m0.760s,0m0.004s
model,100,2000000,0.000001,10000,04,paup-dollo-fast-hsearch,cbcb02,0m7.177s,0m6.388s,0m0.003s
model,100,2000000,0.000001,10000,04,paup-dollo-hsearch,cbcb15,4m25.911s,4m24.082s,0m0.009s
model,100,2000000,0.000001,10000,05,dollo-cdp-fast,cbcb02,0m1.983s,0m0.738s,0m0.007s
model,100,2000000,0.000001,10000,05,paup-dollo-fast-hsearch,cbcb02,0m10.274s,0m9.483s,0m0.006s
model,100,2000000,0.000001,10000,05,paup-dollo-hsearch,cbcb21,5m31.239s,5m29.166s,0m0.006s
model,100,2000000,0.000001,10000,06,dollo-cdp-fast,cbcb02,0m1.911s,0m0.645s,0m0.012s
model,100,2000000,0.000001,10000,06,paup-dollo-fast-hsearch,cbcb02,0m10.461s,0m9.656s,0m0.012s
model,100,2000000,0.000001,10000,06,paup-dollo-hsearch,cbcb21,5m8.842s,5m6.836s,0m0.016s
model,100,2000000,0.000001,10000,07,dollo-cdp-fast,cbcb02,0m2.152s,0m0.709s,0m0.011s
model,100,2000000,0.000001,10000,07,paup-dollo-fast-hsearch,cbcb02,0m9.700s,0m8.835s,0m0.046s
model,100,2000000,0.000001,10000,07,paup-dollo-hsearch,cbcb20,5m53.129s,5m50.742s,0m0.007s
model,100,2000000,0.000001,10000,08,dollo-cdp-fast,cbcb02,0m2.226s,0m0.797s,0m0.008s
model,100,2000000,0.000001,10000,08,paup-dollo-fast-hsearch,cbcb02,0m10.377s,0m9.567s,0m0.019s
