NTAX,STRHT,SRATE,NCHR,REPL,MTHD,DOLLO,SECS
10,2000000,1e-06,500,1,paup-dollo-fast-hsearch-first,596,0.191
10,2000000,1e-06,500,1,dollo-cdp-fast,596,0.595
10,2000000,1e-06,500,1,paup-dollo-hsearch-first,596,0.186
10,2000000,1e-06,500,1,paup-dollo-hsearch,596,0.186
10,2000000,1e-06,500,2,paup-dollo-fast-hsearch-first,589,0.229
10,2000000,1e-06,500,2,dollo-cdp-fast,589,0.629
10,2000000,1e-06,500,2,paup-dollo-hsearch-first,589,0.188
10,2000000,1e-06,500,2,paup-dollo-hsearch,589,0.188
10,2000000,1e-06,500,3,paup-dollo-fast-hsearch-first,631,0.222
10,2000000,1e-06,500,3,dollo-cdp-fast,631,0.62
10,2000000,1e-06,500,3,paup-dollo-hsearch-first,631,0.23
10,2000000,1e-06,500,3,paup-dollo-hsearch,631,0.23
10,2000000,1e-06,500,4,paup-dollo-fast-hsearch-first,568,0.23
10,2000000,1e-06,500,4,dollo-cdp-fast,568,0.633
10,2000000,1e-06,500,4,paup-dollo-hsearch-first,568,0.213
10,2000000,1e-06,500,4,paup-dollo-hsearch,568,0.213
10,2000000,1e-06,500,5,paup-dollo-fast-hsearch-first,581,0.221
10,2000000,1e-06,500,5,dollo-cdp-fast,581,0.627
10,2000000,1e-06,500,5,paup-dollo-hsearch-first,581,0.206
10,2000000,1e-06,500,5,paup-dollo-hsearch,581,0.206
10,2000000,1e-06,500,6,paup-dollo-fast-hsearch-first,625,0.234
10,2000000,1e-06,500,6,dollo-cdp-fast,625,0.662
10,2000000,1e-06,500,6,paup-dollo-hsearch-first,625,0.209
10,2000000,1e-06,500,6,paup-dollo-hsearch,625,0.209
10,2000000,1e-06,500,7,paup-dollo-fast-hsearch-first,572,0.247
10,2000000,1e-06,500,7,dollo-cdp-fast,572,0.595
10,2000000,1e-06,500,7,paup-dollo-hsearch-first,572,0.205
10,2000000,1e-06,500,7,paup-dollo-hsearch,572,0.205
10,2000000,1e-06,500,8,paup-dollo-fast-hsearch-first,753,0.232
10,2000000,1e-06,500,8,dollo-cdp-fast,753,0.665
10,2000000,1e-06,500,8,paup-dollo-hsearch-first,753,0.212
10,2000000,1e-06,500,8,paup-dollo-hsearch,753,0.212
10,2000000,1e-06,500,9,paup-dollo-fast-hsearch-first,576,0.246
10,2000000,1e-06,500,9,dollo-cdp-fast,576,0.591
10,2000000,1e-06,500,9,paup-dollo-hsearch-first,576,0.262
10,2000000,1e-06,500,9,paup-dollo-hsearch,576,0.262
10,2000000,1e-06,500,10,paup-dollo-fast-hsearch-first,674,0.269
10,2000000,1e-06,500,10,dollo-cdp-fast,674,0.613
10,2000000,1e-06,500,10,paup-dollo-hsearch-first,674,0.212
10,2000000,1e-06,500,10,paup-dollo-hsearch,674,0.212
10,2000000,1e-06,500,11,paup-dollo-fast-hsearch-first,689,0.216
10,2000000,1e-06,500,11,dollo-cdp-fast,689,0.633
10,2000000,1e-06,500,11,paup-dollo-hsearch-first,689,0.192
10,2000000,1e-06,500,11,paup-dollo-hsearch,689,0.192
10,2000000,1e-06,500,12,paup-dollo-fast-hsearch-first,636,0.23
10,2000000,1e-06,500,12,dollo-cdp-fast,636,0.6950000000000001
10,2000000,1e-06,500,12,paup-dollo-hsearch-first,636,0.231
10,2000000,1e-06,500,12,paup-dollo-hsearch,636,0.231
10,2000000,1e-06,500,13,paup-dollo-fast-hsearch-first,690,0.221
10,2000000,1e-06,500,13,dollo-cdp-fast,690,0.626
10,2000000,1e-06,500,13,paup-dollo-hsearch-first,690,0.247
10,2000000,1e-06,500,13,paup-dollo-hsearch,690,0.247
10,2000000,1e-06,500,14,paup-dollo-fast-hsearch-first,699,0.201
10,2000000,1e-06,500,14,dollo-cdp-fast,699,0.546
10,2000000,1e-06,500,14,paup-dollo-hsearch-first,699,0.277
10,2000000,1e-06,500,14,paup-dollo-hsearch,699,0.277
10,2000000,1e-06,500,15,paup-dollo-fast-hsearch-first,562,0.196
10,2000000,1e-06,500,15,dollo-cdp-fast,562,0.54
10,2000000,1e-06,500,15,paup-dollo-hsearch-first,562,0.215
10,2000000,1e-06,500,15,paup-dollo-hsearch,562,0.215
10,2000000,1e-06,500,16,paup-dollo-fast-hsearch-first,622,0.201
10,2000000,1e-06,500,16,dollo-cdp-fast,622,0.567
10,2000000,1e-06,500,16,paup-dollo-hsearch-first,622,0.235
10,2000000,1e-06,500,16,paup-dollo-hsearch,622,0.235
10,2000000,1e-06,500,17,paup-dollo-fast-hsearch-first,627,0.189
10,2000000,1e-06,500,17,dollo-cdp-fast,627,0.524
10,2000000,1e-06,500,17,paup-dollo-hsearch-first,627,0.251
10,2000000,1e-06,500,17,paup-dollo-hsearch,627,0.251
10,2000000,1e-06,500,18,paup-dollo-fast-hsearch-first,595,0.214
10,2000000,1e-06,500,18,dollo-cdp-fast,595,0.595
10,2000000,1e-06,500,18,paup-dollo-hsearch-first,595,0.201
10,2000000,1e-06,500,18,paup-dollo-hsearch,595,0.201
10,2000000,1e-06,500,19,paup-dollo-fast-hsearch-first,593,0.202
10,2000000,1e-06,500,19,dollo-cdp-fast,593,0.5529999999999999
10,2000000,1e-06,500,19,paup-dollo-hsearch-first,593,0.225
10,2000000,1e-06,500,19,paup-dollo-hsearch,593,0.225
10,2000000,1e-06,500,20,paup-dollo-fast-hsearch-first,624,0.205
10,2000000,1e-06,500,20,dollo-cdp-fast,624,0.57
10,2000000,1e-06,500,20,paup-dollo-hsearch-first,624,0.255
10,2000000,1e-06,500,20,paup-dollo-hsearch,624,0.255
10,2000000,1e-06,500,21,paup-dollo-fast-hsearch-first,632,0.191
10,2000000,1e-06,500,21,dollo-cdp-fast,632,0.542
10,2000000,1e-06,500,21,paup-dollo-hsearch-first,632,0.238
10,2000000,1e-06,500,21,paup-dollo-hsearch,632,0.238
10,2000000,1e-06,500,22,paup-dollo-fast-hsearch-first,626,0.219
10,2000000,1e-06,500,22,dollo-cdp-fast,626,0.609
10,2000000,1e-06,500,22,paup-dollo-hsearch-first,626,0.194
10,2000000,1e-06,500,22,paup-dollo-hsearch,626,0.194
10,2000000,1e-06,500,23,paup-dollo-fast-hsearch-first,598,0.846
10,2000000,1e-06,500,23,dollo-cdp-fast,598,1.229
10,2000000,1e-06,500,23,paup-dollo-hsearch-first,598,0.252
10,2000000,1e-06,500,23,paup-dollo-hsearch,598,0.252
10,2000000,1e-06,500,24,paup-dollo-fast-hsearch-first,629,0.775
10,2000000,1e-06,500,24,dollo-cdp-fast,629,1.166
10,2000000,1e-06,500,24,paup-dollo-hsearch-first,629,0.206
10,2000000,1e-06,500,24,paup-dollo-hsearch,629,0.206
10,2000000,1e-06,500,25,paup-dollo-fast-hsearch-first,629,0.808
10,2000000,1e-06,500,25,dollo-cdp-fast,629,1.179
10,2000000,1e-06,500,25,paup-dollo-hsearch-first,629,0.204
10,2000000,1e-06,500,25,paup-dollo-hsearch,629,0.204
10,2000000,1e-06,1000,1,paup-dollo-fast-hsearch-first,1189,0.863
10,2000000,1e-06,1000,1,dollo-cdp-fast,1189,1.268
10,2000000,1e-06,1000,1,paup-dollo-hsearch-first,1189,0.275
10,2000000,1e-06,1000,1,paup-dollo-hsearch,1189,0.275
10,2000000,1e-06,1000,2,paup-dollo-fast-hsearch-first,1189,0.792
10,2000000,1e-06,1000,2,dollo-cdp-fast,1189,1.174
10,2000000,1e-06,1000,2,paup-dollo-hsearch-first,1189,0.209
10,2000000,1e-06,1000,2,paup-dollo-hsearch,1189,0.209
10,2000000,1e-06,1000,3,paup-dollo-fast-hsearch-first,1241,0.833
10,2000000,1e-06,1000,3,dollo-cdp-fast,1241,1.244
10,2000000,1e-06,1000,3,paup-dollo-hsearch-first,1241,0.238
10,2000000,1e-06,1000,3,paup-dollo-hsearch,1241,0.238
10,2000000,1e-06,1000,4,paup-dollo-fast-hsearch-first,1141,0.776
10,2000000,1e-06,1000,4,dollo-cdp-fast,1141,1.142
10,2000000,1e-06,1000,4,paup-dollo-hsearch-first,1141,0.293
10,2000000,1e-06,1000,4,paup-dollo-hsearch,1141,0.293
10,2000000,1e-06,1000,5,paup-dollo-fast-hsearch-first,1178,0.822
10,2000000,1e-06,1000,5,dollo-cdp-fast,1178,1.25
10,2000000,1e-06,1000,5,paup-dollo-hsearch-first,1178,0.255
10,2000000,1e-06,1000,5,paup-dollo-hsearch,1178,0.255
10,2000000,1e-06,1000,6,paup-dollo-fast-hsearch-first,1247,0.781
10,2000000,1e-06,1000,6,dollo-cdp-fast,1247,1.1560000000000001
10,2000000,1e-06,1000,6,paup-dollo-hsearch-first,1247,0.261
10,2000000,1e-06,1000,6,paup-dollo-hsearch,1247,0.261
10,2000000,1e-06,1000,7,paup-dollo-fast-hsearch-first,1147,0.779
10,2000000,1e-06,1000,7,dollo-cdp-fast,1147,1.1520000000000001
10,2000000,1e-06,1000,7,paup-dollo-hsearch-first,1147,0.296
10,2000000,1e-06,1000,7,paup-dollo-hsearch,1147,0.296
10,2000000,1e-06,1000,8,paup-dollo-fast-hsearch-first,1482,0.799
10,2000000,1e-06,1000,8,dollo-cdp-fast,1482,1.19
10,2000000,1e-06,1000,8,paup-dollo-hsearch-first,1482,0.317
10,2000000,1e-06,1000,8,paup-dollo-hsearch,1482,0.317
10,2000000,1e-06,1000,9,paup-dollo-fast-hsearch-first,1163,0.24
10,2000000,1e-06,1000,9,dollo-cdp-fast,1163,0.649
10,2000000,1e-06,1000,9,paup-dollo-hsearch-first,1163,0.196
10,2000000,1e-06,1000,9,paup-dollo-hsearch,1163,0.196
10,2000000,1e-06,1000,10,paup-dollo-fast-hsearch-first,1338,0.839
10,2000000,1e-06,1000,10,dollo-cdp-fast,1338,1.279
