MODL,NCHR,REPL,MTHD,NODE,real,user,sys
Palaeognathae,10000,Rep10,dollo-cdp-fast,cbcb17,0m0.701s,0m0.313s,0m0.003s
Palaeognathae,10000,Rep10,paup-dollo-bnb,cbcb19,0m0.760s,0m0.029s,0m0.005s
Palaeognathae,10000,Rep10,paup-dollo-fast-hsearch,cbcb17,0m0.823s,0m0.036s,0m0.008s
Palaeognathae,10000,Rep10,paup-dollo-hsearch,cbcb19,0m0.946s,0m0.154s,0m0.004s
Palaeognathae,10000,Rep11,dollo-cdp-fast,cbcb17,0m0.768s,0m0.309s,0m0.007s
Palaeognathae,10000,Rep11,paup-dollo-bnb,cbcb19,0m0.209s,0m0.030s,0m0.006s
Palaeognathae,10000,Rep11,paup-dollo-fast-hsearch,cbcb17,0m0.842s,0m0.043s,0m0.003s
Palaeognathae,10000,Rep11,paup-dollo-hsearch,cbcb19,0m0.888s,0m0.112s,0m0.009s
Palaeognathae,10000,Rep12,dollo-cdp-fast,cbcb17,0m0.738s,0m0.317s,0m0.001s
Palaeognathae,10000,Rep12,paup-dollo-bnb,cbcb19,0m0.774s,0m0.033s,0m0.004s
Palaeognathae,10000,Rep12,paup-dollo-fast-hsearch,cbcb17,0m0.231s,0m0.042s,0m0.006s
Palaeognathae,10000,Rep12,paup-dollo-hsearch,cbcb19,0m0.945s,0m0.166s,0m0.007s
Palaeognathae,10000,Rep13,dollo-cdp-fast,cbcb17,0m0.773s,0m0.176s,0m0.007s
Palaeognathae,10000,Rep13,paup-dollo-bnb,cbcb19,0m0.239s,0m0.030s,0m0.008s
Palaeognathae,10000,Rep13,paup-dollo-fast-hsearch,cbcb17,0m0.868s,0m0.054s,0m0.002s
Palaeognathae,10000,Rep13,paup-dollo-hsearch,cbcb19,0m0.927s,0m0.127s,0m0.005s
Palaeognathae,10000,Rep14,dollo-cdp-fast,cbcb17,0m0.882s,0m0.315s,0m0.002s
Palaeognathae,10000,Rep14,paup-dollo-bnb,cbcb19,0m0.765s,0m0.029s,0m0.006s
Palaeognathae,10000,Rep14,paup-dollo-fast-hsearch,cbcb17,0m0.908s,0m0.040s,0m0.006s
Palaeognathae,10000,Rep14,paup-dollo-hsearch,cbcb19,0m0.897s,0m0.059s,0m0.005s
Palaeognathae,10000,Rep15,dollo-cdp-fast,cbcb17,0m0.869s,0m0.312s,0m0.004s
Palaeognathae,10000,Rep15,paup-dollo-bnb,cbcb19,0m0.812s,0m0.026s,0m0.007s
Palaeognathae,10000,Rep15,paup-dollo-fast-hsearch,cbcb17,0m0.918s,0m0.038s,0m0.005s
Palaeognathae,10000,Rep15,paup-dollo-hsearch,cbcb19,0m0.874s,0m0.062s,0m0.003s
Palaeognathae,10000,Rep16,dollo-cdp-fast,cbcb19,0m0.693s,0m0.316s,0m0.003s
Palaeognathae,10000,Rep16,paup-dollo-bnb,cbcb19,0m0.779s,0m0.028s,0m0.004s
Palaeognathae,10000,Rep16,paup-dollo-fast-hsearch,cbcb19,0m0.782s,0m0.038s,0m0.004s
Palaeognathae,10000,Rep16,paup-dollo-hsearch,cbcb19,0m0.982s,0m0.127s,0m0.004s
Palaeognathae,10000,Rep17,dollo-cdp-fast,cbcb19,0m0.710s,0m0.313s,0m0.004s
Palaeognathae,10000,Rep17,paup-dollo-bnb,cbcb19,0m0.766s,0m0.031s,0m0.005s
Palaeognathae,10000,Rep17,paup-dollo-fast-hsearch,cbcb19,0m0.802s,0m0.039s,0m0.007s
Palaeognathae,10000,Rep17,paup-dollo-hsearch,cbcb19,0m0.981s,0m0.146s,0m0.006s
Palaeognathae,10000,Rep18,dollo-cdp-fast,cbcb19,0m0.688s,0m0.314s,0m0.003s
Palaeognathae,10000,Rep18,paup-dollo-bnb,cbcb19,0m0.769s,0m0.027s,0m0.006s
Palaeognathae,10000,Rep18,paup-dollo-fast-hsearch,cbcb19,0m0.810s,0m0.033s,0m0.007s
Palaeognathae,10000,Rep18,paup-dollo-hsearch,cbcb19,0m0.424s,0m0.227s,0m0.004s
Palaeognathae,10000,Rep19,dollo-cdp-fast,cbcb19,0m0.703s,0m0.310s,0m0.007s
Palaeognathae,10000,Rep19,paup-dollo-bnb,cbcb19,0m0.766s,0m0.030s,0m0.004s
Palaeognathae,10000,Rep19,paup-dollo-fast-hsearch,cbcb19,0m0.790s,0m0.037s,0m0.009s
Palaeognathae,10000,Rep19,paup-dollo-hsearch,cbcb19,0m0.884s,0m0.118s,0m0.007s
Palaeognathae,10000,Rep1,dollo-cdp-fast,cbcb16,0m0.675s,0m0.313s,0m0.004s
Palaeognathae,10000,Rep1,paup-dollo-bnb,cbcb17,0m0.850s,0m0.032s,0m0.002s
Palaeognathae,10000,Rep1,paup-dollo-fast-hsearch,cbcb16,0m0.245s,0m0.043s,0m0.003s
Palaeognathae,10000,Rep1,paup-dollo-hsearch,cbcb19,0m0.918s,0m0.122s,0m0.002s
Palaeognathae,10000,Rep20,dollo-cdp-fast,cbcb19,0m0.730s,0m0.313s,0m0.005s
Palaeognathae,10000,Rep20,paup-dollo-bnb,cbcb19,0m0.780s,0m0.029s,0m0.004s
Palaeognathae,10000,Rep20,paup-dollo-fast-hsearch,cbcb19,0m0.792s,0m0.039s,0m0.009s
Palaeognathae,10000,Rep20,paup-dollo-hsearch,cbcb19,0m0.311s,0m0.117s,0m0.005s
Palaeognathae,10000,Rep21,dollo-cdp-fast,cbcb19,0m0.762s,0m0.339s,0m0.004s
Palaeognathae,10000,Rep21,paup-dollo-bnb,cbcb19,0m0.805s,0m0.033s,0m0.018s
Palaeognathae,10000,Rep21,paup-dollo-fast-hsearch,cbcb19,0m0.818s,0m0.039s,0m0.005s
Palaeognathae,10000,Rep21,paup-dollo-hsearch,cbcb19,0m1.089s,0m0.292s,0m0.002s
Palaeognathae,10000,Rep22,dollo-cdp-fast,cbcb19,0m0.690s,0m0.308s,0m0.011s
Palaeognathae,10000,Rep22,paup-dollo-bnb,cbcb19,0m0.807s,0m0.032s,0m0.026s
Palaeognathae,10000,Rep22,paup-dollo-fast-hsearch,cbcb19,0m0.780s,0m0.038s,0m0.007s
Palaeognathae,10000,Rep22,paup-dollo-hsearch,cbcb19,0m0.927s,0m0.102s,0m0.006s
Palaeognathae,10000,Rep23,dollo-cdp-fast,cbcb19,0m0.718s,0m0.316s,0m0.004s
Palaeognathae,10000,Rep23,paup-dollo-bnb,cbcb19,0m0.766s,0m0.030s,0m0.003s
Palaeognathae,10000,Rep23,paup-dollo-fast-hsearch,cbcb19,0m0.781s,0m0.035s,0m0.010s
Palaeognathae,10000,Rep23,paup-dollo-hsearch,cbcb19,0m0.855s,0m0.051s,0m0.005s
